Player,Spotrac_ID,Team,Salary
Tony Snell,http://www.spotrac.com/redirect/player/13333/,MIL,2368327
Rashad Vaughn,http://www.spotrac.com/redirect/player/17845/,MIL,1811040
Michael Beasley,http://www.spotrac.com/redirect/player/6127/,MIL,1403611
Jason Terry,http://www.spotrac.com/redirect/player/2281/,MIL,980431
Malcolm Brogdon,http://www.spotrac.com/redirect/player/20242/,MIL,925000
Gary Payton II,http://www.spotrac.com/redirect/player/20272/,MIL,35166
Anthony Davis,http://www.spotrac.com/redirect/player/10809/,NOP,22116750
DeMarcus Cousins,http://www.spotrac.com/redirect/player/6886/,NOP,16957900
Jrue Holiday,http://www.spotrac.com/redirect/player/6316/,NOP,11286518
Solomon Hill,http://www.spotrac.com/redirect/player/13336/,NOP,11241218
Omer Asik,http://www.spotrac.com/redirect/player/7110/,NOP,9904494
E'Twaun Moore,http://www.spotrac.com/redirect/player/8107/,NOP,8081363
Alexis Ajinca,http://www.spotrac.com/redirect/player/6087/,NOP,4713203
Quincy Pondexter,http://www.spotrac.com/redirect/player/6908/,NOP,3617978
Dante Cunningham,http://www.spotrac.com/redirect/player/6321/,NOP,2978250
Tim Frazier,http://www.spotrac.com/redirect/player/15755/,NOP,2090000
Donatas Motiejunas,http://www.spotrac.com/redirect/player/8071/,NOP,576724
Cheick Diallo,http://www.spotrac.com/redirect/player/20239/,NOP,543471
Jordan Crawford,http://www.spotrac.com/redirect/player/6909/,NOP,173099
Axel Toupane,http://www.spotrac.com/redirect/player/18042/,NOP,25725
Quinn Cook,http://www.spotrac.com/redirect/player/18264/,NOP,15984
Danilo Gallinari,http://www.spotrac.com/redirect/player/6138/,DEN,15050000
Kenneth Faried,http://www.spotrac.com/redirect/player/8073/,DEN,12078652
Wilson Chandler,http://www.spotrac.com/redirect/player/2616/,DEN,11233146
Darrell Arthur,http://www.spotrac.com/redirect/player/6121/,DEN,8070175
Roy Hibbert,http://www.spotrac.com/redirect/player/6113/,DEN,5000000
Jameer Nelson,http://www.spotrac.com/redirect/player/2642/,DEN,4540525
Will Barton,http://www.spotrac.com/redirect/player/10865/,DEN,3533333
Mike Miller,http://www.spotrac.com/redirect/player/2539/,DEN,3500000
Emmanuel Mudiay,http://www.spotrac.com/redirect/player/17835/,DEN,3241800
Jamal Murray,http://www.spotrac.com/redirect/player/20212/,DEN,3210840
Mason Plumlee,http://www.spotrac.com/redirect/player/13335/,DEN,2328530
Juan Hernangomez,http://www.spotrac.com/redirect/player/20220/,DEN,1987440
Gary Harris,http://www.spotrac.com/redirect/player/15371/,DEN,1655880
Malik Beasley,http://www.spotrac.com/redirect/player/20224/,DEN,1627320
Nikola Jokic,http://www.spotrac.com/redirect/player/15393/,DEN,1358500
Dirk Nowitzki,http://www.spotrac.com/redirect/player/2279/,DAL,25000000
Harrison Barnes,http://www.spotrac.com/redirect/player/10815/,DAL,22116750
Wesley Matthews,http://www.spotrac.com/redirect/player/6489/,DAL,17145838
Dwight Powell,http://www.spotrac.com/redirect/player/15397/,DAL,8375000
Nerlens Noel,http://www.spotrac.com/redirect/player/13319/,DAL,4384490
Devin Harris,http://www.spotrac.com/redirect/player/2592/,DAL,4227996
Jose Barea,http://www.spotrac.com/redirect/player/2269/,DAL,4096950
Seth Curry,http://www.spotrac.com/redirect/player/13512/,DAL,2898000
DeAndre Liggins,http://www.spotrac.com/redirect/player/8105/,DAL,1015696
Salah Mejri,http://www.spotrac.com/redirect/player/18067/,DAL,874636
A.J. Hammons,http://www.spotrac.com/redirect/player/20252/,DAL,650000
Nicolas Brussino,http://www.spotrac.com/redirect/player/20754/,DAL,543471
Dorian Finney-Smith,http://www.spotrac.com/redirect/player/20757/,DAL,543471
Yogi Ferrell,http://www.spotrac.com/redirect/player/20283/,DAL,207798
Jarrod Uthoff,http://www.spotrac.com/redirect/player/20896/,DAL,47953
Carmelo Anthony,http://www.spotrac.com/redirect/player/2283/,NYK,24559380
Derrick Rose,http://www.spotrac.com/redirect/player/6095/,NYK,21323252
Courtney Lee,http://www.spotrac.com/redirect/player/6144/,NYK,11242000
Lance Thomas,http://www.spotrac.com/redirect/player/8713/,NYK,6191000
Kristaps Porzingis,http://www.spotrac.com/redirect/player/17832/,NYK,4317720
Kyle O'Quinn,http://www.spotrac.com/redirect/player/10874/,NYK,3918750
Mindaugas Kuzminskas,http://www.spotrac.com/redirect/player/20688/,NYK,2898000
Willy Hernangomez,http://www.spotrac.com/redirect/player/17863/,NYK,1375000
Justin Holiday,http://www.spotrac.com/redirect/player/11441/,NYK,1015696
Sasha Vujacic,http://www.spotrac.com/redirect/player/2526/,NYK,980431
Ron Baker,http://www.spotrac.com/redirect/player/20278/,NYK,543471
Maurice N'dour,http://www.spotrac.com/redirect/player/18047/,NYK,543471
Marshall Plumlee,http://www.spotrac.com/redirect/player/20282/,NYK,543471
Chasson Randle,http://www.spotrac.com/redirect/player/20940/,NYK,143860
LaMarcus Aldridge,http://www.spotrac.com/redirect/player/2672/,SAS,20575005
Kawhi Leonard,http://www.spotrac.com/redirect/player/8066/,SAS,17638063
