Player,Spotrac_ID,Team,Salary,Signed_Using,Trade_Kicker,Can_Block
Serge Ibaka,http://www.spotrac.com/redirect/player/6313/,TOR,21666667,Bird,,
Jonas Valanciunas,http://www.spotrac.com/redirect/player/8055/,TOR,16539326,Bird,,
Norman Powell,http://www.spotrac.com/redirect/player/17874/,TOR,9367200,Early Bird,,
C.J. Miles,http://www.spotrac.com/redirect/player/2753/,TOR,8333333,MLE,,
Jakob Poeltl,http://www.spotrac.com/redirect/player/20214/,TOR,2947320,Rookie,,
Delon Wright,http://www.spotrac.com/redirect/player/17848/,TOR,2536898,Rookie,,
OG Anunoby,http://www.spotrac.com/redirect/player/23618/,TOR,1952760,Rookie,,
Malachi Richardson,http://www.spotrac.com/redirect/player/20227/,TOR,1569360,Rookie,,
Pascal Siakam,http://www.spotrac.com/redirect/player/20232/,TOR,1544951,Rookie,,
Alfonzo McKinnie,http://www.spotrac.com/redirect/player/24106/,TOR,1378242,Minimum,,
Hassan Whiteside,http://www.spotrac.com/redirect/player/6915/,MIA,25434263,Cap Space,,
Tyler Johnson,http://www.spotrac.com/redirect/player/15645/,MIA,19245370,Cap Space,True,
Goran Dragic,http://www.spotrac.com/redirect/player/6146/,MIA,18109175,Bird,,
James Johnson,http://www.spotrac.com/redirect/player/6279/,MIA,14651700,Cap Space,,
Kelly Olynyk,http://www.spotrac.com/redirect/player/13326/,MIA,12537527,Cap Space,True,
Dion Waiters,http://www.spotrac.com/redirect/player/10812/,MIA,11550000,Cap Space,,
Josh Richardson,http://www.spotrac.com/redirect/player/17868/,MIA,9367200,Bird,,
Justise Winslow,http://www.spotrac.com/redirect/player/17838/,MIA,3448926,Rookie,,
Edrice Adebayo,http://www.spotrac.com/redirect/player/23609/,MIA,2955840,Rookie,,
Rodney McGruder,http://www.spotrac.com/redirect/player/13575/,MIA,1544951,Cap Space,,
Robin Lopez,http://www.spotrac.com/redirect/player/6147/,CHI,14357750,Cap Space,,
Omer Asik,http://www.spotrac.com/redirect/player/7110/,CHI,11286516,Bird,,
Cristiano Felicio,http://www.spotrac.com/redirect/player/17990/,CHI,8470980,Cap Space,,
Lauri Markkanen,http://www.spotrac.com/redirect/player/23602/,CHI,4536120,Rookie,,
Justin Holiday,http://www.spotrac.com/redirect/player/11441/,CHI,4384615,MLE,,
Kris Dunn,http://www.spotrac.com/redirect/player/20210/,CHI,4221000,Rookie,,
Cameron Payne,http://www.spotrac.com/redirect/player/17842/,CHI,3263295,Rookie,,
Jerian Grant,http://www.spotrac.com/redirect/player/17847/,CHI,2639314,Rookie,,
Bobby Portis,http://www.spotrac.com/redirect/player/17850/,CHI,2494346,Rookie,,
Denzel Valentine,http://www.spotrac.com/redirect/player/20219/,CHI,2280600,Rookie,,
Paul Zipser,http://www.spotrac.com/redirect/player/20254/,CHI,1544951,Minimum,,
Giannis Antetokounmpo,http://www.spotrac.com/redirect/player/13328/,MIL,24157303,Bird,,
Eric Bledsoe,http://www.spotrac.com/redirect/player/6900/,MIL,15000000,Bird,,
Khris Middleton,http://www.spotrac.com/redirect/player/10864/,MIL,13000000,Bird,,
John Henson,http://www.spotrac.com/redirect/player/10822/,MIL,11327466,Bird,,
Tony Snell,http://www.spotrac.com/redirect/player/13333/,MIL,10607143,Bird,,
Matthew Dellavedova,http://www.spotrac.com/redirect/player/13478/,MIL,9607500,Cap Space,,
Thon Maker,http://www.spotrac.com/redirect/player/20215/,MIL,2799720,Rookie,,
DJ Wilson,http://www.spotrac.com/redirect/player/23612/,MIL,2534280,Rookie,,
Brandon Jennings,http://www.spotrac.com/redirect/player/6299/,MIL,2222803,Minimum,,
Tyler Zeller,http://www.spotrac.com/redirect/player/10825/,MIL,1933941,Cap Space,,
Malcolm Brogdon,http://www.spotrac.com/redirect/player/20242/,MIL,1544951,Cap Space,,
Sterling Brown,http://www.spotrac.com/redirect/player/23647/,MIL,1378242,MLE,,
LaMarcus Aldridge,http://www.spotrac.com/redirect/player/2672/,SAS,22347015,Cap Space,True,
Kawhi Leonard,http://www.spotrac.com/redirect/player/8066/,SAS,20099188,Bird,True,
Pau Gasol,http://www.spotrac.com/redirect/player/2518/,SAS,16000000,Non-Bird,,
Patrick Mills,http://www.spotrac.com/redirect/player/6322/,SAS,12428571,Bird,,
Danny Green,http://www.spotrac.com/redirect/player/6277/,SAS,10000000,Bird,,
Rudy Gay,http://www.spotrac.com/redirect/player/2534/,SAS,8826300,MLE,,
Manu Ginobili,http://www.spotrac.com/redirect/player/2705/,SAS,2500000,Bird,,
Derrick White,http://www.spotrac.com/redirect/player/23624/,SAS,1667160,Rookie,,
Joffrey Lauvergne,http://www.spotrac.com/redirect/player/13368/,SAS,1656092,Minimum,,
Dejounte Murray,http://www.spotrac.com/redirect/player/20234/,SAS,1544951,Rookie,,
Brandon Paul,http://www.spotrac.com/redirect/player/20889/,SAS,1378242,Minimum,,
