Player,Pos,Spotrac_ID,Team,Trans_Date,Trans
Serge Ibaka, PF,http://www.spotrac.com/redirect/player/6313/,TOR,Mar 22 2017,Suspended 1 game (forfeit $111364) for fighting during CHI-TOR game				
Serge Ibaka, PF,http://www.spotrac.com/redirect/player/6313/,TOR,Mar 21 2017,Fined $2000 for ejection from CHI-TOR game				
Jared Sullinger, PF,http://www.spotrac.com/redirect/player/10846/,TOR,Feb 23 2017,Traded to Phoenix (PHX) from Toronto (TOR)  with 2017 2nd round pick and 2018 2nd round pick for  P.J. Tucker
Serge Ibaka, PF,http://www.spotrac.com/redirect/player/6313/,TOR,Feb 14 2017,Traded to Toronto (TOR) from Orlando (ORL)  for  Terrence Ross
Kyle Lowry, PG,http://www.spotrac.com/redirect/player/2536/,TOR,Jan 22 2017,Fined $2000 for ejection from PHX-TOR game				
Lorenzo Brown, PG,http://www.spotrac.com/redirect/player/13365/,TOR,Apr 11 2018,Signed a contract with Toronto (TOR)				
Lorenzo Brown, PG,http://www.spotrac.com/redirect/player/13365/,TOR,Apr 11 2018,Toronto (TOR) terminated two-way contract				
Serge Ibaka, PF,http://www.spotrac.com/redirect/player/6313/,TOR,Mar 18 2018,Fined $4000 for ejection from OKC-TOR game				
Nigel Hayes, PF,http://www.spotrac.com/redirect/player/23669/,TOR,Mar 16 2018,Signed a 10-day contract with Toronto (TOR)				
Nigel Hayes, PF,http://www.spotrac.com/redirect/player/23669/,TOR,Mar 6 2018,Signed a 10-day contract with Toronto (TOR)				
Bruno Caboclo, SF,http://www.spotrac.com/redirect/player/15372/,TOR,Feb 8 2018,Traded to Sacramento (SAC) from Toronto (TOR)  for  Malachi Richardson
DeMar DeRozan, SG,http://www.spotrac.com/redirect/player/6327/,TOR,Jan 16 2018,Fined $15000 for criticism of officiating after TOR-PHI game				
Kyle Lowry, PG,http://www.spotrac.com/redirect/player/2536/,TOR,Jan 15 2018,Fined $4000 for ejection from TOR-PHI game				
Serge Ibaka, PF,http://www.spotrac.com/redirect/player/6313/,TOR,Jan 10 2018,Suspended 1 game (forfeit $138357) for fighting during MIA-TOR game				
Serge Ibaka, PF,http://www.spotrac.com/redirect/player/6313/,TOR,Jan 9 2018,Fined $2000 for ejection from MIA-TOR game				
Khris Middleton, SF,http://www.spotrac.com/redirect/player/10864/,MIL,Dec 26 2017,Fined $2000 for ejection from CHI-MIL game				
Gary Payton II, PG,http://www.spotrac.com/redirect/player/20272/,MIL,Dec 18 2017,Waived by Milwaukee (MIL)				
